         t          A          B          C 
  0.000007         99         99          1 
  0.000032         98         98          2 
  0.000032         97         97          3 
  0.000121         96         96          4 
  0.000145         95         95          5 
  0.000293         94         94          6 
  0.000351         93         93          7 
  0.000360         92         92          8 
  0.000368         91         91          9 
  0.000395         90         90         10 
  0.000416         89         89         11 
  0.000545         88         88         12 
  0.000627         87         87         13 
  0.000692         86         86         14 
  0.000745         85         85         15 
  0.000812         84         84         16 
  0.000848         83         83         17 
  0.001021         82         82         18 
  0.001024         81         81         19 
  0.001212         80         80         20 
  0.001426         79         79         21 
  0.001534         78         78         22 
  0.001565         77         77         23 
  0.001686         76         76         24 
  0.001753         75         75         25 
  0.001799         74         74         26 
  0.001879         73         73         27 
  0.001966         72         72         28 
  0.002007         71         71         29 
  0.002073         70         70         30 
  0.002096         69         69         31 
  0.002162         68         68         32 
  0.002262         67         67         33 
  0.002305         66         66         34 
  0.002308         65         65         35 
  0.002317         64         64         36 
  0.002332         63         63         37 
  0.002480         62         62         38 
  0.002756         61         61         39 
  0.002882         60         60         40 
  0.003157         59         59         41 
  0.003307         58         58         42 
  0.003472         57         57         43 
  0.003576         56         56         44 
  0.003587         55         55         45 
  0.003603         54         54         46 
  0.003683         53         53         47 
  0.003860         52         52         48 
  0.003940         51         51         49 
  0.004169         52         52         48 
  0.004184         51         51         49 
  0.004872         50         50         50 
  0.005034         49         49         51 
  0.005237         50         50         50 
  0.005472         49         49         51 
  0.005743         48         48         52 
  0.005772         47         47         53 
  0.005891         46         46         54 
  0.005976         45         45         55 
  0.006166         44         44         56 
  0.006256         43         43         57 
  0.006282         42         42         58 
  0.006525         41         41         59 
  0.006692         40         40         60 
  0.006809         39         39         61 
  0.007061         38         38         62 
  0.007108         37         37         63 
  0.007200         36         36         64 
  0.008721         35         35         65 
  0.008907         34         34         66 
  0.009088         33         33         67 
  0.009342         32         32         68 
  0.009764         31         31         69 
  0.009832         30         30         70 
  0.010067         29         29         71 
  0.010118         28         28         72 
  0.010789         27         27         73 
  0.011120         26         26         74 
  0.011128         27         27         73 
  0.011547         26         26         74 
  0.011619         25         25         75 
  0.011852         24         24         76 
  0.012129         23         23         77 
  0.012546         22         22         78 
  0.014510         21         21         79 
  0.017302         20         20         80 
  0.017502         19         19         81 
  0.020951         18         18         82 
  0.022591         17         17         83 
  0.023936         18         18         82 
  0.025349         19         19         81 
  0.026177         18         18         82 
  0.028461         17         17         83 
  0.028706         16         16         84 
  0.030460         15         15         85 
  0.030763         14         14         86 
  0.031343         13         13         87 
  0.031827         12         12         88 
  0.034874         11         11         89 
  0.036660         10         10         90 
  0.037633          9          9         91 
  0.041208          8          8         92 
  0.048275          7          7         93 
  0.048536          6          6         94 
  0.050194          5          5         95 
  0.050501          4          4         96 
  0.068770          5          5         95 
  0.075876          6          6         94 
  0.090349          7          7         93 
  0.094910          8          8         92 
  0.099190          9          9         91 
  0.106535         10         10         90 
  0.107720          9          9         91 
  0.109051          8          8         92 
  0.117169          9          9         91 
  0.120102         10         10         90 
  0.120185          9          9         91 
  0.123617          8          8         92 
  0.127119          7          7         93 
  0.136490          8          8         92 
  0.136502          7          7         93 
  0.137065          8          8         92 
  0.138174          9          9         91 
  0.142623          8          8         92 
  0.145130          7          7         93 
  0.149818          8          8         92 
  0.150636          7          7         93 
  0.154102          6          6         94 
  0.160505          5          5         95 
  0.169785          6          6         94 
  0.173724          7          7         93 
  0.183270          6          6         94 
  0.190635          5          5         95 
  0.193348          6          6         94 
  0.201452          7          7         93 
  0.210872          8          8         92 
  0.212594          7          7         93 
  0.214991          6          6         94 
  0.219292          5          5         95 
  0.220895          6          6         94 
  0.220967          5          5         95 
  0.226847          4          4         96 
  0.231092          5          5         95 
  0.234929          6          6         94 
  0.246924          7          7         93 
  0.247385          8          8         92 
  0.249438          7          7         93 
  0.252315          8          8         92 
  0.256215          7          7         93 
  0.264313          6          6         94 
  0.272657          7          7         93 
  0.273181          8          8         92 
  0.274068          9          9         91 
  0.274560          8          8         92 
  0.274952          9          9         91 
  0.275774          8          8         92 
  0.277428          7          7         93 
  0.282093          6          6         94 
  0.293009          5          5         95 
  0.301619          4          4         96 
  0.308429          5          5         95 
  0.312335          6          6         94 
  0.313482          5          5         95 
  0.313875          6          6         94 
  0.315580          5          5         95 
  0.323519          4          4         96 
  0.325900          5          5         95 
  0.339359          6          6         94 
  0.339486          7          7         93 
  0.339729          8          8         92 
  0.340935          9          9         91 
  0.341361          8          8         92 
  0.341901          9          9         91 
  0.348258          8          8         92 
  0.358889          7          7         93 
  0.360716          6          6         94 
  0.362497          5          5         95 
  0.369321          6          6         94 
  0.372440          7          7         93 
  0.378210          6          6         94 
  0.397203          7          7         93 
  0.399694          6          6         94 
  0.399781          7          7         93 
  0.409732          6          6         94 
  0.413202          7          7         93 
  0.424568          8          8         92 
  0.430207          7          7         93 
  0.433246          6          6         94 
  0.434384          7          7         93 
  0.436867          8          8         92 
  0.437709          9          9         91 
  0.439290         10         10         90 
  0.440328          9          9         91 
  0.440880         10         10         90 
  0.445909          9          9         91 
  0.446092         10         10         90 
  0.446402          9          9         91 
  0.447535          8          8         92 
  0.449464          7          7         93 
  0.455167          6          6         94 
  0.468309          7          7         93 
  0.478352          6          6         94 
  0.483526          7          7         93 
  0.484968          6          6         94 
  0.486446          5          5         95 
  0.488946          6          6         94 
  0.490868          7          7         93 
  0.494547          6          6         94 
  0.507838          7          7         93 
  0.516298          6          6         94 
  0.545452          5          5         95 
  0.550871          4          4         96 
  0.553886          5          5         95 
  0.553982          4          4         96 
  0.561531          5          5         95 
  0.562789          6          6         94 
  0.565816          7          7         93 
  0.568384          6          6         94 
  0.580466          7          7         93 
  0.590941          6          6         94 
  0.593532          7          7         93 
  0.598341          8          8         92 
  0.605770          7          7         93 
  0.618518          6          6         94 
  0.626992          5          5         95 
  0.629426          4          4         96 
  0.631475          5          5         95 
  0.635249          4          4         96 
  0.640162          5          5         95 
  0.640758          6          6         94 
  0.647562          5          5         95 
  0.669789          4          4         96 
  0.673798          3          3         97 
  0.677979          4          4         96 
  0.687525          5          5         95 
  0.693753          6          6         94 
  0.694440          5          5         95 
  0.696345          6          6         94 
  0.701217          7          7         93 
  0.703540          6          6         94 
  0.704128          5          5         95 
  0.715749          6          6         94 
  0.716279          7          7         93 
  0.734457          8          8         92 
  0.754884          7          7         93 
  0.756615          6          6         94 
  0.756883          5          5         95 
  0.757571          6          6         94 
  0.762699          5          5         95 
  0.765182          6          6         94 
  0.768848          7          7         93 
  0.773103          6          6         94 
  0.782375          5          5         95 
  0.787393          6          6         94 
  0.791461          7          7         93 
  0.793211          8          8         92 
  0.801353          9          9         91 
  0.802585         10         10         90 
  0.804887          9          9         91 
  0.806665          8          8         92 
  0.809715          9          9         91 
  0.810658          8          8         92 
  0.812423          7          7         93 
  0.814312          8          8         92 
  0.815612          7          7         93 
  0.820529          6          6         94 
  0.829980          5          5         95 
  0.842543          6          6         94 
  0.846975          7          7         93 
  0.859655          6          6         94 
  0.862586          7          7         93 
  0.863423          8          8         92 
  0.868296          7          7         93 
  0.873663          6          6         94 
  0.882306          7          7         93 
  0.886334          6          6         94 
  0.886342          5          5         95 
  0.897941          4          4         96 
  0.900524          5          5         95 
  0.903843          6          6         94 
  0.904092          7          7         93 
  0.911264          8          8         92 
  0.914089          9          9         91 
  0.928539         10         10         90 
  0.933047         11         11         89 
  0.933313         10         10         90 
  0.937272         11         11         89 
  0.943456         12         12         88 
  0.943617         13         13         87 
  0.945601         12         12         88 
  0.947524         11         11         89 
  0.949515         10         10         90 
  0.950609          9          9         91 
  0.957463          8          8         92 
  0.960275          7          7         93 
  0.963399          6          6         94 
  0.971198          5          5         95 
  0.971659          6          6         94 
  0.974793          5          5         95 
  0.975919          4          4         96 
  0.981227          5          5         95 
  0.984476          6          6         94 
  0.984934          7          7         93 
  0.996450          8          8         92 
  0.998547          7          7         93 
  0.998760          6          6         94 
  0.998960          7          7         93 
  1.004638          8          8         92 
